time,S,E,I,H,R,Active,Recovered,Susceptible
4875.343186953978,9892,83,0,0,25,83,25,9892
4939.871797723796,9892,82,1,0,25,83,25,9892
4989.534266709709,9891,83,1,0,25,84,25,9891
5003.341091039421,9891,83,0,1,25,84,25,9891
5033.142228987921,9891,83,0,0,26,83,26,9891
5072.7790982729375,9891,82,1,0,26,83,26,9891
5116.089340083432,9890,83,1,0,26,84,26,9890
5128.657978664907,9890,82,2,0,26,84,26,9890
5139.574136451454,9889,83,2,0,26,85,26,9889
5166.864180708136,9889,82,3,0,26,85,26,9889
5194.830807939605,9889,81,4,0,26,85,26,9889
5206.836715381906,9889,81,3,1,26,85,26,9889
5266.336404879824,9889,80,4,1,26,85,26,9889
5279.227962119333,9889,79,5,1,26,85,26,9889
5306.80040257053,9889,79,4,1,27,84,27,9889
5329.877050894584,9889,79,4,0,28,83,28,9889
5359.993312329037,9888,80,4,0,28,84,28,9888
5382.743148077017,9888,80,3,1,28,84,28,9888
5400.011433326685,9888,80,2,1,29,83,29,9888
5420.023314035077,9888,80,1,1,30,82,30,9888
5437.138999276191,9887,81,1,1,30,83,30,9887
5522.106250709409,9887,80,2,1,30,83,30,9887
5561.377928769903,9887,80,1,1,31,82,31,9887
5615.31923076204,9886,81,1,1,31,83,31,9886
5855.0565088558,9886,81,0,2,31,83,31,9886
6394.546841988404,9886,81,0,1,32,82,32,9886
7587.233519285197,9886,80,1,1,32,82,32,9886
7597.447435661455,9886,80,0,2,32,82,32,9886
7675.848747182454,9886,80,0,1,33,81,33,9886
7693.842966031214,9886,79,1,1,33,81,33,9886
7720.983090600847,9886,79,0,1,34,80,34,9886
7769.899668708472,9886,78,1,1,34,80,34,9886
7802.282040982978,9885,79,1,1,34,81,34,9885
7817.335942886343,9885,79,1,0,35,80,35,9885
7827.999295701002,9885,79,0,0,36,79,36,9885
7894.981700688147,9885,78,1,0,36,79,36,9885
7913.400636790332,9885,78,0,0,37,78,37,9885
7924.376101346027,9885,77,1,0,37,78,37,9885
7936.141036559272,9884,78,1,0,37,79,37,9884
7952.287163739359,9884,77,2,0,37,79,37,9884
7962.464811813624,9884,77,1,1,37,79,37,9884
7995.351355594947,9884,77,1,0,38,78,38,9884
8030.25085004669,9883,78,1,0,38,79,38,9883
8041.308796388027,9882,79,1,0,38,80,38,9882
8059.560191386021,9882,78,2,0,38,80,38,9882
8103.1668303695815,9881,79,2,0,38,81,38,9881
8185.654671223555,9880,80,2,0,38,82,38,9880
8199.08957501723,9879,81,2,0,38,83,38,9879
8209.970902661878,9879,80,3,0,38,83,38,9879
8296.392496868315,9879,80,2,1,38,83,38,9879
8310.40744021068,9879,80,2,0,39,82,39,9879
8335.460828197036,9879,80,1,1,39,82,39,9879
8347.392112534353,9878,81,1,1,39,83,39,9878
8357.75785697595,9878,81,0,2,39,83,39,9878
8411.929021225687,9878,80,1,2,39,83,39,9878
8425.611426495068,9878,80,0,3,39,83,39,9878
8477.930527161592,9878,79,1,3,39,83,39,9878
8489.998492381119,9878,79,0,3,40,82,40,9878
8515.56699690624,9878,78,1,3,40,82,40,9878
8533.555848099517,9878,78,0,3,41,81,41,9878
8552.365006496935,9878,77,1,3,41,81,41,9878
8585.035355250238,9878,77,0,3,42,80,42,9878
8595.147221143501,9878,77,0,2,43,79,43,9878
8608.816454512535,9878,77,0,1,44,78,44,9878
8632.650092909329,9878,76,1,1,44,78,44,9878
8650.19076024747,9878,75,2,1,44,78,44,9878
8664.3444237275,9878,74,3,1,44,78,44,9878
8722.643697415637,9878,74,2,1,45,77,45,9878
8815.80489880153,9878,74,1,1,46,76,46,9878
8835.62518985833,9878,74,1,0,47,75,47,9878
8856.054159205622,9878,74,0,1,47,75,47,9878
8869.152071835042,9878,73,1,1,47,75,47,9878
8884.506696928815,9878,73,1,0,48,74,48,9878
8903.213628281246,9878,72,2,0,48,74,48,9878
8916.953642384437,9878,72,1,0,49,73,49,9878
9029.291252287518,9878,72,0,1,49,73,49,9878
9046.750352621992,9878,72,0,0,50,72,50,9878
9064.12174223813,9878,71,1,0,50,72,50,9878
9079.113986874185,9878,70,2,0,50,72,50,9878
9099.395880577635,9878,70,1,0,51,71,51,9878
9121.19874419313,9878,70,0,0,52,70,52,9878
9142.748313274957,9878,69,1,0,52,70,52,9878
9174.871004286853,9878,69,0,0,53,69,53,9878
9189.326129877507,9878,68,1,0,53,69,53,9878
9225.144594143545,9878,68,0,1,53,69,53,9878
9240.02388858754,9878,67,1,1,53,69,53,9878
9251.20146808216,9877,68,1,1,53,70,53,9877
9314.848890013182,9877,68,0,2,53,70,53,9877
9325.981745758487,9877,67,1,2,53,70,53,9877
9338.7252867689,9876,68,1,2,53,71,53,9876
9381.910799875413,9876,68,0,3,53,71,53,9876
9395.196126422441,9876,67,1,3,53,71,53,9876
9417.862571321104,9876,67,1,2,54,70,54,9876
9431.097697715713,9876,67,0,3,54,70,54,9876
9484.953405144224,9876,66,1,3,54,70,54,9876
9525.909030025663,9876,66,1,2,55,69,55,9876
9540.816559899107,9876,66,1,1,56,68,56,9876
9566.881012712012,9875,67,1,1,56,69,56,9875
9577.74644059715,9874,68,1,1,56,70,56,9874
9601.926818782236,9873,69,1,1,56,71,56,9873
9626.345692374662,9873,69,1,0,57,70,57,9873
9704.48668924003,9873,69,0,1,57,70,57,9873
9844.550031289848,9873,68,1,1,57,70,57,9873
9856.440873929656,9873,68,1,0,58,69,58,9873
9869.267445086985,9873,67,2,0,58,69,58,9873
11090.244512774092,9873,67,1,1,58,69,58,9873
11727.013644652045,9873,67,0,1,59,68,59,9873
11740.60902079516,9873,67,0,0,60,67,60,9873
11780.905970726757,9873,66,1,0,60,67,60,9873
11839.654105573829,9873,66,0,0,61,66,61,9873
11870.219626349042,9873,65,1,0,61,66,61,9873
11887.874897588088,9873,65,0,1,61,66,61,9873
11978.667314320244,9873,64,1,1,61,66,61,9873
12022.65637073471,9873,64,1,0,62,65,62,9873
12052.882812528083,9873,64,0,0,63,64,63,9873
12078.04234527881,9873,63,1,0,63,64,63,9873
12124.987680242235,9872,64,1,0,63,65,63,9872
12139.133464587972,9872,64,0,0,64,64,64,9872
12149.285431615013,9872,63,1,0,64,64,64,9872
12171.709878981928,9872,63,0,0,65,63,65,9872
12189.780599690248,9872,62,1,0,65,63,65,9872
12226.92978766639,9872,62,0,0,66,62,66,9872
12252.35845097209,9872,61,1,0,66,62,66,9872
12270.911819978099,9872,61,0,1,66,62,66,9872
12292.41532012922,9872,60,1,1,66,62,66,9872
12312.155472572102,9872,60,0,1,67,61,67,9872
12332.028292643752,9872,60,0,0,68,60,68,9872
12358.729511784137,9872,59,1,0,68,60,68,9872
12372.83541513992,9872,59,0,0,69,59,69,9872
12385.950396172355,9872,58,1,0,69,59,69,9872
12463.514692153894,9872,58,0,0,70,58,70,9872
12477.236793659895,9872,57,1,0,70,58,70,9872
12488.13616766005,9872,56,2,0,70,58,70,9872
12525.283108294077,9872,55,3,0,70,58,70,9872
12581.959643738104,9872,55,2,1,70,58,70,9872
12598.956879016017,9872,55,1,2,70,58,70,9872
12614.637525766608,9871,56,1,2,70,59,70,9871
14601.319162120151,9871,55,2,2,70,59,70,9871
14614.649185030628,9871,55,1,3,70,59,70,9871
14638.324989679702,9871,55,0,3,71,58,71,9871
14658.987093763051,9871,54,1,3,71,58,71,9871
14681.145128232964,9871,54,0,4,71,58,71,9871
14708.43134019847,9871,54,0,3,72,57,72,9871
14732.047344783381,9871,54,0,2,73,56,73,9871
14743.134240983461,9871,53,1,2,73,56,73,9871
14753.851353649416,9871,52,2,2,73,56,73,9871
14771.491427675714,9871,52,1,2,74,55,74,9871
14784.530267562552,9871,52,0,3,74,55,74,9871
14797.04741472318,9871,52,0,2,75,54,75,9871
14807.726471796137,9871,52,0,1,76,53,76,9871
14849.296557490787,9871,51,1,1,76,53,76,9871
14896.874469415567,9871,51,1,0,77,52,77,9871
14921.688665373553,9871,51,0,1,77,52,77,9871
14934.910984175945,9871,50,1,1,77,52,77,9871
14966.224666783175,9870,51,1,1,77,53,77,9870
14991.503314130972,9870,51,1,0,78,52,78,9870
15011.341091313423,9870,51,0,1,78,52,78,9870
15024.29222062858,9870,51,0,0,79,51,79,9870
15046.384985341752,9870,50,1,0,79,51,79,9870
15520.227979475058,9869,51,1,0,79,52,79,9869
15553.412629065506,9869,51,0,1,79,52,79,9869
15565.956527934062,9869,50,1,1,79,52,79,9869
15593.829738176899,9869,49,2,1,79,52,79,9869
15609.971897952955,9869,49,2,0,80,51,80,9869
15623.235993842089,9868,50,2,0,80,52,80,9868
15636.92049820389,9868,49,3,0,80,52,80,9868
15653.967407211752,9868,48,4,0,80,52,80,9868
15664.31456668723,9868,47,5,0,80,52,80,9868
15675.26924465431,9868,47,4,0,81,51,81,9868
15698.050445700626,9867,48,4,0,81,52,81,9867
15885.67963269966,9866,49,4,0,81,53,81,9866
15897.677461738118,9866,49,3,0,82,52,82,9866
16009.132013385286,9866,49,2,0,83,51,83,9866
16085.22396559182,9865,50,2,0,83,52,83,9865
16096.847765102377,9865,50,1,0,84,51,84,9865
16110.958546176033,9865,49,2,0,84,51,84,9865
16121.041351427986,9865,48,3,0,84,51,84,9865
16164.453026146903,9865,47,4,0,84,51,84,9865
16181.154423732167,9865,47,3,1,84,51,84,9865
16239.608837018106,9864,48,3,1,84,52,84,9864
16258.846703976029,9863,49,3,1,84,53,84,9863
16285.609002799532,9863,48,4,1,84,53,84,9863
16356.669869136864,9862,49,4,1,84,54,84,9862
16368.215421476347,9862,49,3,1,85,53,85,9862
16390.25451661137,9862,49,2,2,85,53,85,9862
16432.657649778746,9861,50,2,2,85,54,85,9861
16456.56505627503,9860,51,2,2,85,55,85,9860
16470.723422273808,9860,51,1,3,85,55,85,9860
16504.523232658496,9860,51,0,4,85,55,85,9860
16524.11942015966,9860,51,0,3,86,54,86,9860
16724.43407915391,9860,50,1,3,86,54,86,9860
16740.95770394094,9860,50,0,3,87,53,87,9860
16791.675019643593,9860,49,1,3,87,53,87,9860
16830.42694196448,9860,49,0,4,87,53,87,9860
16842.204838968024,9860,49,0,3,88,52,88,9860
16889.56377168243,9860,48,1,3,88,52,88,9860
17012.49597322413,9860,48,0,4,88,52,88,9860
17023.438130168182,9860,47,1,4,88,52,88,9860
17069.11108017618,9860,47,0,4,89,51,89,9860
17086.78071284595,9860,47,0,3,90,50,90,9860
17358.914459661835,9860,47,0,2,91,49,91,9860
17377.366694776312,9860,46,1,2,91,49,91,9860
17390.65580739415,9860,46,0,2,92,48,92,9860
18454.784083720166,9860,46,0,1,93,47,93,9860
18478.432740265576,9860,46,0,0,94,46,94,9860
18750.85782243281,9860,45,1,0,94,46,94,9860
18777.839487344125,9859,46,1,0,94,47,94,9859
18821.539099397483,9859,46,0,1,94,47,94,9859
18847.961681184108,9859,45,1,1,94,47,94,9859
18859.781539362655,9859,45,0,1,95,46,95,9859
18912.6473610796,9859,44,1,1,95,46,95,9859
19673.40039860628,9859,44,0,2,95,46,95,9859
19690.237562215796,9859,44,0,1,96,45,96,9859
19702.252481463034,9859,43,1,1,96,45,96,9859
19733.107384357656,9859,43,1,0,97,44,97,9859
19746.833911374288,9858,44,1,0,97,45,97,9858
19757.173376634488,9857,45,1,0,97,46,97,9857
19778.130799861163,9857,45,0,1,97,46,97,9857
19796.041109150676,9857,45,0,0,98,45,98,9857
19897.871305372486,9857,44,1,0,98,45,98,9857
19908.933043233017,9856,45,1,0,98,46,98,9856
19945.398739135562,9856,44,2,0,98,46,98,9856
19962.304314453882,9856,44,1,0,99,45,99,9856
20001.59376186601,9856,43,2,0,99,45,99,9856
20011.610538373243,9856,43,1,0,100,44,100,9856
20029.392101896112,9856,43,0,1,100,44,100,9856
20100.727687983992,9856,42,1,1,100,44,100,9856
20118.850484035574,9856,42,0,1,101,43,101,9856
20175.539793891705,9856,42,0,0,102,42,102,9856
20296.574531376675,9856,41,1,0,102,42,102,9856
20319.34065549581,9856,41,0,1,102,42,102,9856
20333.920524009594,9856,40,1,1,102,42,102,9856
20601.126688031778,9855,41,1,1,102,43,102,9855
20617.688590826874,9855,41,0,2,102,43,102,9855
20632.35673470675,9855,41,0,1,103,42,103,9855
20663.59823835148,9855,40,1,1,103,42,103,9855
20704.981991157965,9855,39,2,1,103,42,103,9855
20866.05566219574,9855,39,2,0,104,41,104,9855
20889.371207111224,9855,39,1,0,105,40,105,9855
20911.235171353823,9855,39,0,1,105,40,105,9855
20922.076476243437,9855,38,1,1,105,40,105,9855
20956.693458055808,9855,38,0,2,105,40,105,9855
21280.148577273234,9855,38,0,1,106,39,106,9855
21886.38209932895,9855,38,0,0,107,38,107,9855
21898.836849130494,9855,37,1,0,107,38,107,9855
21912.554860526077,9855,36,2,0,107,38,107,9855
21993.69042369979,9855,36,1,0,108,37,108,9855
22012.843265414507,9855,36,0,0,109,36,109,9855
22024.23856297579,9855,35,1,0,109,36,109,9855
22040.809775315418,9855,35,0,1,109,36,109,9855
22055.551390079596,9855,34,1,1,109,36,109,9855
22100.631562869992,9854,35,1,1,109,37,109,9854
22136.056967114873,9854,35,0,2,109,37,109,9854
22180.940667175368,9854,35,0,1,110,36,110,9854
22283.67869315803,9854,34,1,1,110,36,110,9854
22308.675627829554,9853,35,1,1,110,37,110,9853
22343.30545036144,9853,35,0,2,110,37,110,9853
22396.632071467182,9853,34,1,2,110,37,110,9853
22423.097048032494,9853,34,0,2,111,36,111,9853
22436.749420925582,9853,33,1,2,111,36,111,9853
22490.657635332693,9852,34,1,2,111,37,111,9852
22541.35998091626,9852,33,2,2,111,37,111,9852
22559.70673528596,9852,32,3,2,111,37,111,9852
22571.27833431017,9852,31,4,2,111,37,111,9852
22582.00125044411,9851,32,4,2,111,38,111,9851
22626.66160989006,9851,32,4,1,112,37,112,9851
22642.064407458547,9851,32,4,0,113,36,113,9851
22657.234521697912,9851,31,5,0,113,36,113,9851
22677.319665623567,9851,30,6,0,113,36,113,9851
22763.118217806823,9850,31,6,0,113,37,113,9850
22810.95347571091,9850,31,5,0,114,36,114,9850
22845.990178764125,9850,30,6,0,114,36,114,9850
22858.160527819808,9850,29,7,0,114,36,114,9850
22897.98315494885,9850,28,8,0,114,36,114,9850
22913.62966011169,9850,27,9,0,114,36,114,9850
22949.91570745673,9849,28,9,0,114,37,114,9849
23046.32258491042,9849,27,10,0,114,37,114,9849
23058.403399955478,9849,27,9,0,115,36,115,9849
23099.109625149602,9848,28,9,0,115,37,115,9848
23109.65011767351,9847,29,9,0,115,38,115,9847
23162.93790166011,9846,30,9,0,115,39,115,9846
23173.173273430635,9846,30,8,1,115,39,115,9846
23193.92493538833,9846,30,7,2,115,39,115,9846
23270.314867066027,9846,30,7,1,116,38,116,9846
23283.473929526208,9845,31,7,1,116,39,116,9845
23297.554121933583,9845,31,6,2,116,39,116,9845
23315.1622647847,9845,31,5,2,117,38,117,9845
23353.362127132517,9845,31,4,2,118,37,118,9845
23368.751197239108,9845,31,4,1,119,36,119,9845
23548.73500628361,9845,31,3,1,120,35,120,9845
23573.301205490552,9845,31,2,2,120,35,120,9845
23585.80987713058,9845,30,3,2,120,35,120,9845
23600.362334527716,9845,30,2,3,120,35,120,9845
23701.31961797938,9845,30,1,3,121,34,121,9845
23760.371926447802,9845,30,1,2,122,33,122,9845
23804.20143716984,9845,30,0,2,123,32,123,9845
23821.529742488656,9845,29,1,2,123,32,123,9845
23838.176854215977,9845,29,0,3,123,32,123,9845
23964.113107473313,9845,28,1,3,123,32,123,9845
23975.543823207183,9844,29,1,3,123,33,123,9844
23990.874774572752,9844,29,1,2,124,32,124,9844
24001.061197091763,9844,29,0,2,125,31,125,9844
24016.326482281966,9844,28,1,2,125,31,125,9844
24241.00773332632,9844,28,1,1,126,30,126,9844
24300.946142659883,9844,28,0,1,127,29,127,9844
24361.707262128442,9844,27,1,1,127,29,127,9844
24866.15899103921,9844,27,0,1,128,28,128,9844
24884.521625814916,9844,27,0,0,129,27,129,9844
24900.27916089287,9844,26,1,0,129,27,129,9844
24916.21420122229,9844,25,2,0,129,27,129,9844
24937.70247411519,9844,25,1,0,130,26,130,9844
24986.079749904606,9844,24,2,0,130,26,130,9844
25099.128887369312,9844,24,1,0,131,25,131,9844
25112.782389828004,9844,23,2,0,131,25,131,9844
25146.153268827653,9844,22,3,0,131,25,131,9844
25208.940838484723,9844,22,2,0,132,24,132,9844
25223.32907834906,9843,23,2,0,132,25,132,9843
25237.960100383403,9843,23,1,0,133,24,133,9843
25285.234062806245,9843,23,0,0,134,23,134,9843
25313.97535497158,9843,22,1,0,134,23,134,9843
25448.98735222272,9842,23,1,0,134,24,134,9842
25469.98157359823,9842,22,2,0,134,24,134,9842
25500.335214368693,9841,23,2,0,134,25,134,9841
25511.277268754227,9841,23,1,1,134,25,134,9841
25525.0063452043,9841,23,0,1,135,24,135,9841
25537.906121935786,9841,23,0,0,136,23,136,9841
25583.405295640663,9841,22,1,0,136,23,136,9841
25602.191079999167,9840,23,1,0,136,24,136,9840
25637.140869227955,9840,23,0,1,136,24,136,9840
25699.15185271431,9840,23,0,0,137,23,137,9840
25711.093295987,9840,22,1,0,137,23,137,9840
25734.480282616245,9840,22,0,0,138,22,138,9840
25771.09938100746,9840,21,1,0,138,22,138,9840
25824.593907958795,9839,22,1,0,138,23,138,9839
25838.721959526905,9838,23,1,0,138,24,138,9838
